SUM([nb_comments]+[likes])/COUNT([image_url]);Number of Records;Created Time;Filter;Image URL;latitude;Number of likes;Link;Location;longitude;number of Comments;Tags;Text;Username
1046;1;8/08/2017 6:02:58 p.m.;Normal;https://scontent.cdninstagram.com/vp/0d4ebc97047ed80d3af03c621157dde9/5B48C519/t51.2885-15/s320x320/e35/20635476_301701290302655_3637930023760953344_n.jpg;0;1037;https://www.instagram.com/p/BXisr_JB0Mh/;;0;9;leonisa,comotúninguna;"Sexy little details... Cuando la parte favorita de tu outfit está al interior. 
Nueva colección disponible en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
511;1;8/08/2017 12:15:20 a.m.;Normal;https://scontent.cdninstagram.com/vp/8c9bdda76bdb8eeda95c8ea9721ba3d2/5B38CC28/t51.2885-15/s320x320/e35/20686649_108053726569121_1800292733902913536_n.jpg;0;507;https://www.instagram.com/p/BXgygWEhEcr/;;0;4;leonisa,comotúninguna;"Say hi to your new obsession! 
Descubre la nueva colección con los bralettes más sexys en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
455;1;7/08/2017 1:37:09 a.m.;Normal;https://scontent.cdninstagram.com/vp/073dde4d15870014e3b3b814e219a627/5AB39E8A/t51.2885-15/s320x320/e15/20686891_404726166588357_4050388411939291136_n.jpg;0;453;https://www.instagram.com/p/BXeXEttBjHQ/;;0;2;leonisa,comotúninguna;"• Fall in love with this • 
Tenemos todo lo que te gusta, corre a ver nuestra nueva colección en catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
444;1;6/08/2017 5:23:02 p.m.;Normal;https://scontent.cdninstagram.com/vp/ca03244b04a68df8218d42a2688f84b2/5B2FC29B/t51.2885-15/s320x320/e35/20633682_1392969504083672_5700962313935257600_n.jpg;0;442;https://www.instagram.com/p/BXdehqTBddZ/;;0;2;leonisa,comotúninguna;Long live summer days... ¡Enamórate de la nueva colección! Bralettes, bras y panties que son pura comodidad y estilo.  #leonisa #ComoTúNinguna;leonisa
629;1;6/08/2017 12:52:23 a.m.;Normal;https://scontent.cdninstagram.com/vp/276f6771f4eea05e8664744788d38cbd/5B3E5704/t51.2885-15/s320x320/e35/20635359_831592583681701_2195649593100730368_n.jpg;0;626;https://www.instagram.com/p/BXbtKAEBwu8/;;0;3;leonisa,comotúninguna;On Saturdays we wear bralettes ✨ Nuevas siluetas y colores en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna;leonisa
494;1;4/08/2017 12:54:34 a.m.;Normal;https://scontent.cdninstagram.com/vp/d7fde400d249a254b3fb3e2fce13dde6/5B499FE1/t51.2885-15/s320x320/e35/20582683_1560314010685651_3790670545549262848_n.jpg;0;492;https://www.instagram.com/p/BXWj0NuBUw2/;;0;2;leonisa,comotúninguna;"Así te sientes cuando tienes el outfit perfecto 👌🏼 Nueva colección disponible en nuestro catálogo, tiendas Leonisa y tienda Online. 
#leonisa #ComoTúNinguna";leonisa
1199;1;3/08/2017 12:34:32 a.m.;Normal;https://scontent.cdninstagram.com/vp/5d2adadbda562080410d0c214cb8dfab/5B2E93CD/t51.2885-15/s320x320/e35/20482277_230460787476567_7246352269283688448_n.jpg;0;1189;https://www.instagram.com/p/BXT8ullB3s9/;;0;10;leonisa,comotúninguna;Nueva colección = Nuevas razones para verte increíble. #leonisa #ComoTúNinguna;leonisa
363;1;2/08/2017 1:07:57 a.m.;Normal;https://scontent.cdninstagram.com/vp/3aea9304d72b258087bc775b6346b62b/5B4C7BB4/t51.2885-15/s320x320/e35/20482310_298552980548325_3717030810113540096_n.jpg;0;357;https://www.instagram.com/p/BXRbwhlB3nB/;;0;6;leonisa,comotúninguna;"La nueva colección te va a encantar ❤️
Ya puedes encontrar todo lo nuevo en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
364;1;30/07/2017 11:53:30 p.m.;Normal;https://scontent.cdninstagram.com/vp/c5b3644e4d8988a61f70f0813f00dc54/5B4A29E9/t51.2885-15/s320x320/e35/20398211_2030704877151265_7338147595983781888_n.jpg;0;361;https://www.instagram.com/p/BXMJpfJBA5j/;;0;3;leonisa,leonisafashionshow,comotúninguna;En nuestra pasarela tuvimos la compañía de más de 2000 invitados, conoce algunos de ellos. #ComoTúNinguna #leonisa #LeonisaFashionShow;leonisa
361;1;30/07/2017 6:01:43 p.m.;Normal;https://scontent.cdninstagram.com/vp/81cad03844651790b5631449893459f0/5AB32A99/t51.2885-15/s320x320/e15/20479323_173429523200128_6934776104473329664_n.jpg;0;356;https://www.instagram.com/p/BXLhY6PBpwn/;;0;5;leonisa,comotúninguna;No te pierdas lo mejor del backstage de nuestro fashion show, en la voces de las protagonistas de la pasarela, más que modelos mujeres auténticas. #ComoTúNinguna #leonisa;leonisa
